"Provisional Population Totals, Census of India 2011",,,,,,,,,,,,,,,,,,
Cities having population 1 lakh and above,,,,,,,,,,,,,,,,,,
State Code,State Name,Level,District Code,Name of City,Population ,,,0-6 Population,,,Literates,,,Sex Ratio,Child Sex Ratio (0-6 Years,Effective Literacy Rate (7+ Pop),,
,,,,,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,,,Persons,Males,Females
1,JAMMU & KASHMIR,71,10,Srinagar (M Corp.),"11,92,792","6,31,916","5,60,876","1,48,178","79,293","68,885","7,41,441","4,28,915","3,12,526",888,869,70.98,77.61,63.52
1,JAMMU & KASHMIR,71,14,Anantnag (M Cl),"1,08,505","56,030","52,475","18,056","9,633","8,423","71,408","39,591","31,817",937,874,78.95,85.33,72.23
1,JAMMU & KASHMIR,71,21,Jammu (MC),"5,03,690","2,65,346","2,38,344","42,655","23,317","19,338","4,13,366","2,25,410","1,87,956",898,829,89.66,93.13,85.82
2,HIMACHAL PRADESH,71,11,Shimla (M Corp.),"1,69,758","93,364","76,394","13,646","7,221","6,425","1,47,799","82,486","65,313",818,890,94.67,95.75,93.35
3,PUNJAB,71,1,Pathankot (M Cl),"1,48,357","77,833","70,524","13,496","7,488","6,008","1,19,483","64,673","54,810",906,802,88.6,91.94,84.96
3,PUNJAB,71,1,Batala (M Cl),"1,56,400","82,459","73,941","14,698","8,028","6,670","1,21,138","66,101","55,037",897,831,85.49,88.81,81.81
3,PUNJAB,7,2,Kapurthala (M Cl),"1,01,654","55,485","46,169","9,706","5,162","4,544","78,914","44,399","34,515",832,880,85.82,88.23,82.92
3,PUNJAB,71,3,Jalandhar (M Corp.),"8,62,196","4,58,015","4,04,181","83,669","44,850","38,819","6,65,625","3,63,500","3,02,125",882,866,85.5,87.98,82.69
3,PUNJAB,7,4,Hoshiarpur (M Cl),"1,68,443","88,290","80,153","16,836","9,178","7,658","1,35,094","72,533","62,561",908,834,89.11,91.68,86.3
3,PUNJAB,7,7,Khanna (M Cl),"1,28,130","67,811","60,319","13,218","7,232","5,986","97,022","53,108","43,914",890,828,84.43,87.67,80.82
3,PUNJAB,7,7,Ludhiana (M Corp.),"16,13,878","8,74,773","7,39,105","1,73,021","92,492","80,529","12,30,218","6,91,161","5,39,057",845,871,85.38,88.35,81.85
3,PUNJAB,71,8,Moga (M Cl),"1,50,432","79,760","70,672","15,502","8,348","7,154","1,10,764","60,698","50,066",886,857,82.09,85,78.82
3,PUNJAB,7,9,Firozpur (M Cl),"1,10,091","58,401","51,690","11,516","6,262","5,254","78,615","43,468","35,147",885,839,79.75,83.37,75.69
